Conference,Team,Wins,Losses
Eastern Conference,Cleveland Cavaliers,23,4
Eastern Conference,Boston Celtics,21,5
Eastern Conference,New York Knicks,16,10
Eastern Conference,Orlando Magic,17,11
Eastern Conference,Milwaukee Bucks,14,11
Eastern Conference,Miami Heat,13,11
Eastern Conference,Atlanta Hawks,14,13
Eastern Conference,Indiana Pacers,12,15
Eastern Conference,Chicago Bulls,12,15
Eastern Conference,Detroit Pistons,11,16
Eastern Conference,Brooklyn Nets,10,16
Eastern Conference,Philadelphia 76ers,8,16
Eastern Conference,Charlotte Hornets,7,19
Eastern Conference,Toronto Raptors,7,20
Eastern Conference,Washington Wizards,3,21
Western Conference,Oklahoma City Thunder,20,5
Western Conference,Memphis Grizzlies,18,9
Western Conference,Houston Rockets,17,9
Western Conference,Dallas Mavericks,17,9
Western Conference,Denver Nuggets,14,10
Western Conference,Phoenix Suns,14,11
Western Conference,Minnesota Timberwolves,14,11
Western Conference,Golden State Warriors,14,11
Western Conference,Los Angeles Clippers,15,12
Western Conference,Los Angeles Lakers,14,12
Western Conference,San Antonio Spurs,13,13
Western Conference,Sacramento Kings,13,14
Western Conference,Portland Trail Blazers,8,18
Western Conference,Utah Jazz,5,20
Western Conference,New Orleans Pelicans,5,22
